epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,285.691,0.84371,0.58317,1.26005,0.79108,0.8,0.815,0.64647,0.72174,1.12022,1.40806,0.0003328,0.0003328,0.0003328
82,288.389,0.71657,0.49645,1.06183,0.79108,0.8,0.815,0.64647,0.72174,1.12022,1.40806,0.000320922,0.000320922,0.000320922
83,291.028,0.56803,0.48939,1.11625,0.79108,0.8,0.815,0.64647,0.72174,1.12022,1.40806,0.000308648,0.000308648,0.000308648
84,294.503,0.74313,0.52569,1.14907,0.82995,0.97971,0.92833,0.62063,0.79217,1.10997,1.45421,0.000295978,0.000295978,0.000295978
85,297.348,0.78416,0.55132,1.08932,0.82995,0.97971,0.92833,0.62063,0.79217,1.10997,1.45421,0.000282912,0.000282912,0.000282912
86,297.774,0.86835,0.59551,1.1235,0.82995,0.97971,0.92833,0.62063,0.79217,1.10997,1.45421,0.00026945,0.00026945,0.00026945
87,300.612,0.71344,0.5414,1.22515,0.82995,0.97971,0.92833,0.62063,0.79217,1.10997,1.45421,0.000255592,0.000255592,0.000255592
88,303.738,0.64368,0.51581,1.03674,0.71113,0.98673,0.89786,0.60705,0.82551,1.08803,1.47391,0.000241338,0.000241338,0.000241338
89,306.753,0.738,0.57066,1.25248,0.71113,0.98673,0.89786,0.60705,0.82551,1.08803,1.47391,0.000226688,0.000226688,0.000226688
90,309.522,0.53076,0.4794,1.06253,0.71113,0.98673,0.89786,0.60705,0.82551,1.08803,1.47391,0.000211642,0.000211642,0.000211642
91,312.325,0.61882,0.44363,0.94648,0.71113,0.98673,0.89786,0.60705,0.82551,1.08803,1.47391,0.0001962,0.0001962,0.0001962
92,316.104,0.6332,0.42051,0.93972,0.70812,1,0.89786,0.59114,0.8261,1.09166,1.45592,0.000180362,0.000180362,0.000180362
93,319.323,0.63962,0.49851,0.94021,0.70812,1,0.89786,0.59114,0.8261,1.09166,1.45592,0.000164128,0.000164128,0.000164128
94,322.257,0.52345,0.46806,0.84739,0.70812,1,0.89786,0.59114,0.8261,1.09166,1.45592,0.000147498,0.000147498,0.000147498
95,325.038,0.59082,0.42712,0.91351,0.70812,1,0.89786,0.59114,0.8261,1.09166,1.45592,0.000130472,0.000130472,0.000130472
96,328.09,0.55479,0.4216,0.89223,0.71391,0.99844,0.89786,0.62129,0.82927,1.07945,1.44991,0.00011305,0.00011305,0.00011305
97,328.613,0.59387,0.40593,0.92446,0.71391,0.99844,0.89786,0.62129,0.82927,1.07945,1.44991,9.5232e-05,9.5232e-05,9.5232e-05
98,331.336,0.56291,0.44716,0.86192,0.71391,0.99844,0.89786,0.62129,0.82927,1.07945,1.44991,7.7018e-05,7.7018e-05,7.7018e-05
99,334.451,0.57883,0.44436,0.87155,0.71391,0.99844,0.89786,0.62129,0.82927,1.07945,1.44991,5.8408e-05,5.8408e-05,5.8408e-05
100,337.213,0.58956,0.46215,0.97081,0.69994,1,0.89786,0.62129,0.83632,1.04928,1.42723,3.9402e-05,3.9402e-05,3.9402e-05
